icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
06TE,3275,50,Asphalt,09,30.313,-95.0325,126.0,,27,30.31283,-95.02217,132.0,
06TN,2000,50,Turf,05,,,,,23,,,,
06TX,1680,60,Turf,01,,,,,19,,,,
06VA,2000,100,Turf,05,,,,,23,,,,
06WN,2845,30,Asphalt,09,46.92633,-122.55833,,528,27,46.92367,-122.54767,,64
06XS,1750,100,Turf,16,,,,,34,,,,
06Y,2997,60,Asphalt,14,45.83317,-96.1635,1055.0,,32,45.82617,-96.15733,1068.0,
07AA,2060,52,Gravel,18,,,,,36,,,,
07AR,3000,60,Turf,11,,,,,29,,,,
07CL,2220,50,Asphalt,16,,,100.0,,34,,,100.0,
07CO,3100,75,Turf,02,,,,,20,,,,
07FA,4451,70,Asphalt,05,25.3195,-80.27983,2.0,,23,25.32917,-80.2715,6.0,448
07GA,1700,80,Turf,09,,,,,27,,,,
07IN,1860,80,Turf,N,,,,,S,,,,
07K,3700,60,Concrete,16,41.1165,-98.05333,1715.1,,34,41.10667,-98.04933,1716.1,
07KS,2000,45,Turf,18,,,,,36,,,,
07KY,2000,100,Turf,11,,,,,29,,,,
07MD,1035,60,Turf,01,,,,,19,,,,
07MI,2450,100,Turf,09,,,,,27,,,,
07MO,2700,40,Turf-Gravel,17,,,,,35,,,,
07MT,13500,300,Concrete,10,48.43033,-106.55183,2757.0,,28,48.41183,-106.50367,2749.0,2500
07N,2200,100,Turf,16,,,,370,34,,,,100
07NC,2000,50,Turf,08,,,,,26,,,,
07NV,4750,50,Dirt,17,,,,,35,,,,
07OK,2400,80,Turf,17,,,,,35,,,,
07PN,2000,100,Turf,09,,,,300,27,,,,
07TA,2204,125,Turf,06,,,,,24,,,,
07TE,5000,100,Asphalt,13,,,,,31,,,,
07TN,1800,75,Turf,07,,,,,25,,,,200
07TS,2500,75,Turf,17,,,,,35,,,,
07UT,4500,75,Asphalt,16,,,,,34,,,,
07VA,1600,50,Turf,16,,,,,34,,,,
07VT,595,20,Turf,14,,,,,32,,,,
07VT,526,20,Turf,05,,,,,23,,,,
07Y,2902,150,Turf,16,46.95967,-93.59933,1279.1,,34,46.95217,-93.5955,1281.4,
08AK,1200,80,Gravel,01,,,,,19,,,,
08B,1935,100,Turf,14,44.00167,-69.89,56.2,425,32,43.99833,-69.88433,56.6,143
08CL,2000,50,Dirt,E,,,,,W,,,,
08CO,2600,75,Turf,09,,,,,27,,,,
08F,2584,80,Concrete,17,,,,250,35,,,,275
08FA,3165,80,Turf,09,,,,,27,,,,
08FD,4138,104,Turf,18,,,,,36,,,,
08FL,2500,100,Turf,03,,,,,21,,,,
08GA,5000,150,Turf,03,,,,,21,,,,
08ID,2500,60,Gravel,NW,,,,,SE,,,,
08KS,2500,70,Gravel,17,39.03783,-97.58017,1234.0,,35,39.031,-97.57983,1216.0,
08KY,2500,60,Turf,09,,,,,27,,,,
08LL,2190,100,Turf,18,,,,,36,,,,
08LS,2000,60,Turf,18,,,,,36,,,,
08ME,3200,90,Turf,13,,,,,31,,,,
08MO,2640,50,Turf,03,,,,,21,,,,
08MO,2140,48,Turf,18,,,,,36,,,,
08MS,3725,50,Asphalt-Turf,07,,,,,25,,,,
08MT,2600,80,Dirt,07,,,,,25,,,,
08N,2692,120,Turf,07,40.2895,-76.33283,548.1,701,25,40.29367,-76.32467,542.8,793
08NC,3200,50,Turf,18,,,,350,36,,,,
08ND,1300,75,Turf,17,,,,,35,,,,
08NE,3000,100,Turf,11,,,,,29,,,,
08NY,550,60,Turf,01,,,,,19,,,,
08NY,500,40,Turf,10,,,,,28,,,,
08OH,3000,50,Turf,E,,,,,W,,,,
08OK,1800,50,Turf,08,,,,,26,,,,
08OL,1029,40,Turf,18,35.4095,-98.60533,1518.0,,36,35.40667,-98.6055,1518.0,
08OR,2800,20,Gravel,18,,,,,36,,,,
08R,2129,30,Asphalt,11,41.48983,-71.6245,130.4,,29,41.48917,-71.61683,127.1,130
08TX,2100,30,Turf,09,,,,800,27,,,,
08TX,1800,100,Turf,18,,,,,36,,,,
08U,3600,50,Dirt,01,41.51083,-115.86,6362.0,,19,41.52067,-115.85983,6397.0,
08VA,1800,50,Turf,09,,,,,27,,,,
08XA,2200,30,Turf,13,,,,,31,,,,
08XS,2350,100,Turf,03,,,,,21,,,,
09AK,1300,60,Turf,06,,,,,24,,,,
09AZ,2350,80,Dirt,06,,,,,24,,,,
09CL,2834,50,Asphalt,01,39.1085,-121.05733,2207.3,,19,39.1155,-121.053,2279.5,
09CO,3200,50,Turf,09,,,,,27,,,,
09FA,4800,50,Asphalt,18,,,,,36,,,,
09FD,2649,100,Turf,18,,,,,36,,,,
09FL,3000,150,Turf,09,,,,500,27,,,,
09GA,2400,70,Turf,09,,,,,27,,,,
09IA,2700,80,Asphalt-Turf,09,,,,,27,,,,
09ID,2300,100,Turf,09,,,,,27,,,,
09IN,2200,70,Turf,09,,,,,27,,,,
09IN,2200,50,Turf,18,,,,,36,,,,
09KS,2500,60,Turf,17,,,,,35,,,,
09LL,2300,80,Turf,17,,,,,35,,,,
09ME,2000,100,Turf,04,,,,,22,,,,
09MO,1320,50,Turf,E,,,,,W,,,,
09N,1863,75,Turf,02,41.83,-73.87633,417.0,,20,41.83517,-73.876,444.0,
09NC,2400,80,Turf,16,,,,,34,,,,
09NE,2500,50,Turf,18,,,,,36,,,,
09NE,1230,60,Turf,17,,,,,35,,,,
09NR,1800,35,Turf,09,,,,,27,,,,
09OK,2500,50,Turf,01,,,,,19,,,,
09PA,2300,100,Turf,06,,,,,24,,,,
09S,1765,100,Turf,16,48.84333,-117.284,2621.0,,34,48.8385,-117.284,2603.0,
09TA,1600,40,Turf-Dirt,17,33.2835,-97.49667,930.7,,35,33.27917,-97.49667,918.3,
09TE,2815,45,Turf,16,,,,,34,,,,
09TS,4200,42,Asphalt,09,,,,,27,,,,
09TX,5200,120,Turf,E,,,,,W,,,,
09TX,2340,120,Turf,10,,,,,28,,,,
09TX,1220,120,Turf,14,,,,,32,,,,
09VA,1100,50,Turf,05,,,,,23,,,,
09WI,2500,100,Turf,N,,,,,S,,,,
0AA7,2539,100,Turf,18,,,,,36,,,,
0AK,4000,75,Gravel-Dirt,04,61.9585,-162.95217,449.2,,22,61.9645,-162.93267,307.3,
0AK0,1050,70,Turf,08,,,,,26,,,,250
0AK1,2800,500,Water,06W,,,,,24W,,,,
0AK1,1800,40,Gravel,08,,,,300,26,,,,
0AK2,1000,150,Turf-Dirt,03,,,,,21,,,,
0AK3,1000,40,Gravel,14,,,,,32,,,,
0AK5,1550,120,Turf,02,,,,,20,,,,
0AK6,1800,70,Dirt,11,,,,,29,,,,
0AK7,2400,75,Gravel,06,,,,,24,,,,
0AK9,2000,30,Gravel,17,,,,,35,,,,
0AL1,2640,70,Turf,17,,,,,35,,,,
0AL5,2200,100,Turf,15,,,,,33,,,,
0AL9,2200,50,Turf,09,,,,,27,,,,
0AR2,2800,60,Turf-Gravel,18,,,,,36,,,,
0AZ2,3500,42,Asphalt,17,,,,,35,,,,
0AZ4,2900,130,Turf,01,,,,,19,,,,
0AZ5,2600,60,Asphalt-Dirt,17,,,,675,35,,,,563
0B2,1730,30,Turf,01,44.7615,-68.76717,119.2,,19,44.76617,-68.7685,124.5,
0B7,2575,30,Asphalt,04,44.11433,-72.8295,1452.0,,22,44.1205,-72.8245,1440.0,
0C1,2375,35,Asphalt-Treated,02,39.48467,-94.7825,1007.0,,20,39.49083,-94.77983,1007.0,
0C2,2640,100,Turf,09,41.77083,-88.70833,760.0,,27,41.77083,-88.69867,755.0,
0C5,3800,100,Turf,18,43.58217,-85.284,960.0,765,36,43.57183,-85.284,960.0,195
0C7,3980,200,Turf,18,41.52733,-89.133,727.0,,36,41.5165,-89.1325,715.0,
0C8,2831,180,Turf,18,41.52333,-88.605,640.0,380,36,41.51567,-88.605,640.0,250
0CA3,2100,20,Asphalt,10,,,,,28,,,,
0CA4,3600,50,Treated,06,,,,,24,,,,
0CA5,1400,30,Asphalt,11,,,,,29,,,,
0CA6,2400,40,Asphalt,04,,,,,22,,,,
0CA9,3300,60,Asphalt,16,,,,,34,,,,
0CD2,5000,100,Turf,17,,,,,35,,,,
0CD2,2500,50,Turf,08,,,,,26,,,,
0CD5,4500,70,Gravel,04,,,,,22,,,,
0CD7,956,300,Turf,06,,,,,24,,,,
0CL0,3720,75,Dirt,17,,,,,35,,,,
0CL1,3360,100,Asphalt-Dirt,07,,,,,25,,,,
0CL1,2040,100,Dirt,16,,,,,34,,,,
0CL3,2036,30,Asphalt,09,32.63417,-116.8935,488.0,220,27,32.6325,-116.88717,500.0,
0CL8,3500,80,Turf,06,,,,,24,,,,800
0CN1,2229,80,Asphalt,16,37.45517,-120.76483,140.0,,34,37.44917,-120.76483,128.0,
0CN2,2493,31,Asphalt,16,39.232,-121.68817,67.0,,34,39.22517,-121.68833,67.0,
0CO1,2500,50,Turf-Gravel,N,,,,,S,,,,
0CO2,4000,40,Asphalt,11,,,,,29,,,,
0CO6,4500,150,Turf,02,,,,,20,,,,
0CO6,4000,150,Turf,10,,,,,28,,,,
0CO9,2600,50,Gravel-Dirt,E,,,,,W,,,,
0D7,1955,110,Turf,09,40.79067,-83.83267,949.0,,27,40.79067,-83.8255,949.0,
0D9,4950,100,Turf,09,,,,1480,27,,,,1050
0E9,3270,80,Turf,09,40.7545,-93.24833,1045.0,1080,27,40.755,-93.2365,1028.0,
0E9,3000,100,Water,11W,40.7595,-93.243,1009.0,,29W,40.75633,-93.233,1002.0,
0FA1,1800,75,Turf,09,,,,,27,,,,
0FD0,4000,75,Turf,09,,,,300,27,,,,300
0FD3,4000,40,Turf,13,,,,,31,,,,
0FD3,2100,50,Turf,08,,,,,26,,,,
0FD5,2100,100,Turf,09,,,,400,27,,,,500
