icao,length_ft,width_ft,surface,le_ident,le_latitude,le_longitude,le_elevation_ft,le_displaced_ft,he_ident,he_latitude,he_longitude,he_elevation_ft,he_displaced_ft
KMKO,1904,60,Asphalt,18,35.666,-95.3625,596.8,,36,35.66083,-95.3625,596.1,
KMKS,4351,75,Concrete,05,33.18117,-80.04117,72.9,,23,33.18983,-80.0315,68.2,
KMKT,6600,100,Concrete,15,44.23317,-93.92467,1018.7,,33,44.21683,-93.91383,1020.8,
KMKT,4000,75,Asphalt,04,44.21533,-93.925,1007.2,,22,44.22283,-93.91383,1019.7,
KMKV,3799,75,Asphalt,04,31.091,-92.07333,74.1,,22,31.09833,-92.06483,78.5,
KMKY,5000,100,Asphalt,17,26.00183,-81.67417,5.0,,35,25.98833,-81.67083,5.1,
KMLB,10181,150,Asphalt,09R,28.10133,-80.66117,32.0,,27L,28.10283,-80.62967,21.4,699
KMLB,6000,150,Asphalt,09L,28.10533,-80.65983,30.5,,27R,28.10633,-80.64133,26.0,
KMLB,3001,75,Asphalt,05,28.09583,-80.63733,25.1,,23,28.102,-80.63117,21.5,
KMLC,5602,100,Concrete,02,34.87517,-95.78667,741.6,,20,34.88967,-95.78017,770.8,
KMLD,4950,60,Asphalt,16,42.17717,-112.28933,,150,34,42.16367,-112.28933,,210
KMLE,3801,75,Asphalt,12,41.19933,-96.11767,1050.6,212,30,41.19267,-96.10683,1046.0,
KMLF,5004,75,Asphalt,16,38.4335,-113.01317,5024.8,,34,38.41983,-113.01333,5042.2,
KMLI,10002,150,Concrete,09,41.44917,-90.527,577.6,,27,41.44867,-90.4905,573.8,
KMLI,7301,150,Asphalt-Concrete,13,41.455,-90.5155,584.7,,31,41.44283,-90.49433,580.9,522
KMLI,5016,150,Concrete,05,41.44167,-90.51583,578.0,,23,41.45067,-90.502,585.8,
KMLJ,5509,99,Asphalt,10,33.1545,-83.25033,384.9,,28,33.154,-83.23233,358.9,
KMLS,5680,75,Asphalt,04,46.42167,-105.89667,2629.1,,22,46.43133,-105.87883,2625.5,
KMLS,5623,100,Asphalt,13,46.43483,-105.89267,2630.0,,31,46.424,-105.87683,2625.7,
KMLT,4713,99,Asphalt,11,45.64933,-68.69283,400.9,,29,45.64933,-68.67433,395.1,
KMLT,4000,100,Asphalt,16,45.65017,-68.693,400.3,,34,45.642,-68.68267,379.9,
KMLU,7505,150,Asphalt,04,32.50383,-92.04567,75.5,,22,32.5185,-92.0285,74.6,
KMLU,5001,150,Asphalt,18,32.517,-92.03983,78.4,,36,32.50317,-92.03983,75.8,
KMLU,4999,150,Asphalt,14,32.5165,-92.04167,78.8,,32,32.506,-92.03117,75.3,
KMMH,7000,100,Asphalt,09,37.62717,-118.85017,7134.8,,27,37.621,-118.82733,7061.4,
KMMI,6450,100,Asphalt,02,35.39083,-84.56533,806.5,949,20,35.4075,-84.55833,874.3,
KMMK,3100,75,Asphalt,18,41.51283,-72.83133,103.0,,36,41.50467,-72.82767,98.6,
KMML,7221,100,Asphalt,12,44.4585,-95.83817,1182.6,,30,44.44583,-95.81683,1178.5,
KMML,3999,75,Asphalt,02,44.446,-95.8225,1179.9,,20,44.45567,-95.81533,1172.0,
KMMS,3346,70,Asphalt,02,34.227,-90.29117,160.8,,20,34.23583,-90.288,160.5,
KMMT,9010,150,Pem,14,33.9275,-80.81133,251.0,,32,33.91017,-80.79,243.1,
KMMT,4500,150,Concrete,18,,,,,36,,,,
KMMT,2030,90,Asphalt,05,33.92733,-80.80583,249.3,,23,33.93133,-80.80117,254.0,
KMMU,5998,150,Asphalt,05,40.79317,-74.41917,181.8,,23,40.80633,-74.4065,182.8,
KMMU,3997,150,Asphalt,13,40.801,-74.4245,186.5,,31,40.7965,-74.41133,181.3,
KMMV,5420,100,Asphalt,04,45.19183,-123.14817,160.6,,22,45.19983,-123.1305,160.7,
KMMV,4340,75,Asphalt,17,45.199,-123.13117,160.7,,35,45.18717,-123.13283,162.6,
KMNF,5005,75,Asphalt,10,36.994,-91.723,1182.0,319,28,36.99167,-91.706,1136.7,
KMNI,3602,75,Asphalt,02,33.58233,-80.20983,94.7,,20,33.592,-80.2075,102.8,
KMNM,5999,100,Asphalt,03,45.12317,-87.6445,614.4,,21,45.13733,-87.6325,621.8,
KMNM,5100,100,Asphalt,14,45.12783,-87.645,621.3,,32,45.11717,-87.63233,605.1,
KMNN,5000,100,Asphalt,07,40.6115,-83.07133,989.4,,25,40.61833,-83.05567,993.4,
KMNN,3498,100,Asphalt,13,40.62067,-83.06883,986.2,,31,40.61583,-83.058,989.4,
KMNV,3643,75,Asphalt,05,35.54167,-84.38467,1030.5,,23,35.54883,-84.37617,1000.8,140
KMNZ,4998,75,Asphalt,18,31.67267,-98.14733,1300.1,,36,31.65917,-98.14983,1299.8,
KMO1,3000,60,Asphalt,14,37.878,-92.4115,1110.0,170,32,37.87183,-92.40467,1110.0,130
KMO3,3060,50,Asphalt,01,37.65617,-93.81833,1034.6,,19,37.66433,-93.81533,1037.1,
KMO6,5002,75,Concrete,15,38.59383,-90.99767,487.7,,33,38.58133,-90.99,485.1,
KMO8,5002,75,Concrete,18,39.77817,-93.01267,844.3,,36,39.7645,-93.013,825.6,
KMOB,8502,150,Asphalt,15,30.70233,-88.254,212.9,,33,30.68333,-88.23817,213.2,
KMOB,4376,150,Asphalt,18,30.69467,-88.2365,216.4,,36,30.68267,-88.2365,211.9,
KMOD,5904,150,Asphalt,10L,37.62967,-120.96017,99.2,,28R,37.62067,-120.94317,81.6,
KMOD,3464,100,Asphalt,10R,37.6295,-120.96417,98.5,,28L,37.62417,-120.95417,85.9,
KMOP,5000,100,Asphalt,09,43.6215,-84.74433,754.3,,27,43.62133,-84.7255,752.3,
KMOP,2502,160,Turf,05,43.62,-84.746,753.6,,23,43.62417,-84.73833,748.9,
KMOR,5717,100,Asphalt,05,36.17433,-83.38283,1312.9,,23,36.1845,-83.36817,1274.4,
KMOT,7700,150,Concrete,13,48.26517,-101.28867,1701.8,,31,48.2495,-101.26783,1657.1,
KMOT,6348,100,Asphalt,08,48.258,-101.29083,1715.7,393,26,48.258,-101.26467,1658.2,
KMOX,4002,75,Asphalt,14,45.569,-95.97067,1127.5,,32,45.56017,-95.9615,1123.5,
KMOX,2637,145,Turf,04,45.56567,-95.97283,1122.7,,22,45.5705,-95.96517,1135.7,
KMPE,5001,75,Asphalt,18,32.806,-89.12517,440.4,,36,32.79233,-89.12683,458.1,
KMPG,3301,60,Asphalt,06,39.878,-80.74033,1214.4,,24,39.88367,-80.73117,1194.6,
KMPI,3305,60,Asphalt,08,37.51167,-120.04517,2254.2,,26,37.51017,-120.034,2222.9,
KMPJ,5852,75,Asphalt,03,35.13183,-92.914,888.8,438,21,35.14583,-92.9045,923.0,190
KMPO,5001,75,Asphalt,13,41.14,-75.3905,1884.9,501,31,41.13417,-75.37417,1878.2,
KMPO,3999,100,Asphalt,05,41.134,-75.3815,1874.7,,23,41.14283,-75.37283,1915.2,
KMPR,5502,100,Concrete,18,38.35883,-97.689,1493.6,,36,38.34383,-97.69083,1494.6,
KMPR,2511,75,Turf,08,38.355,-97.69883,1494.0,,26,38.355,-97.69,1493.0,
KMPV,5002,100,Asphalt,17,44.20667,-72.56783,1091.6,,35,44.1945,-72.55867,1165.5,487
KMPV,3000,75,Asphalt,05,44.20483,-72.56317,1115.2,,23,44.21183,-72.55717,1084.7,
KMPZ,3997,75,Asphalt,15,40.951,-91.51417,725.1,,33,40.94133,-91.5075,730.1,
KMPZ,1967,120,Turf,03,40.9455,-91.51433,720.9,,21,40.9495,-91.50967,725.6,
KMQB,5100,100,Asphalt,09,40.51967,-90.661,705.7,,27,40.51967,-90.64267,679.4,
KMQB,3719,190,Turf,18,40.52567,-90.65317,691.3,,36,40.5155,-90.65317,681.6,
KMQI,4305,100,Asphalt,05,35.914,-75.70083,9.0,305,23,35.92333,-75.69183,12.1,301
KMQI,3301,73,Asphalt,17,35.92367,-75.69667,12.5,289,35,35.91533,-75.6925,9.5,989
KMQJ,6005,100,Asphalt,07,39.8365,-85.91117,862.1,,25,39.84217,-85.891,858.0,
KMQJ,3901,75,Concrete,16,39.854,-85.89483,857.7,,34,39.84383,-85.89017,856.9,
KMQS,5400,100,Asphalt,11,39.9805,-75.87483,638.4,,29,39.9775,-75.856,660.0,
KMQW,5000,75,Asphalt,03,32.09067,-82.8825,202.0,,21,32.10333,-82.87633,192.1,
KMQY,8048,150,Asphalt,14,36.01783,-86.52867,543.0,,32,36.00117,-86.511,517.3,
KMQY,5546,100,Asphalt,01,36.00067,-86.52117,519.1,,19,36.01583,-86.51983,521.4,
KMRB,8815,150,Asphalt,08,39.39833,-77.99767,564.8,,26,39.40633,-77.96833,549.6,1000
KMRC,6000,100,Asphalt,06,35.55033,-87.18717,663.8,,24,35.56,-87.17083,681.0,
KMRC,1811,150,Turf,17,35.55417,-87.17917,666.5,,35,35.54933,-87.17983,658.6,
KMRF,6203,75,Asphalt,13,30.378,-104.0255,4840.5,,31,30.366,-104.01167,4830.0,
KMRF,5309,75,Asphalt,04,30.36567,-104.0205,4827.2,,22,30.376,-104.0085,4848.7,
KMRF,2825,60,Dirt,09,30.36967,-104.02533,4828.7,,27,30.3695,-104.01633,4834.5,
KMRH,5003,100,Asphalt,08,34.73317,-76.669,6.5,,26,34.73833,-76.65367,9.5,290
KMRH,4191,150,Asphalt,03,34.7275,-76.66183,5.6,863,21,34.73783,-76.656,6.4,516
KMRH,4001,100,Asphalt,14,34.73617,-76.6655,6.2,,32,34.72883,-76.65567,10.1,490
KMRJ,5001,75,Asphalt,11,42.8905,-90.24883,1129.3,,29,42.8855,-90.23133,1164.0,
KMRJ,3600,60,Asphalt,04,42.8815,-90.23633,1163.6,,22,42.88917,-90.22767,1170.6,
KMRN,5500,75,Asphalt,03,35.81333,-81.61517,1230.2,,21,35.82717,-81.60767,1269.7,
KMRT,4218,75,Asphalt,09,40.224,-83.35917,1020.6,,27,40.22533,-83.34417,996.8,123
KMRT,2702,81,Turf,08,40.22383,-83.3565,1015.2,,26,40.22467,-83.34683,993.9,
KMRY,7175,150,Asphalt,10R,36.59083,-121.85583,158.3,175,28L,36.58333,-121.83333,256.6,175
KMRY,3503,60,Asphalt,10L,36.5885,-121.84467,198.1,,28R,36.58483,-121.83367,256.1,
KMSL,6694,150,Asphalt,12,34.749,-87.617,542.0,,30,34.7415,-87.59667,550.2,
KMSL,4000,100,Asphalt,18,34.75083,-87.61567,539.3,,36,34.74,-87.616,540.9,
KMSN,9006,150,Concrete,18,43.14917,-89.341,860.3,400,36,43.1245,-89.34217,862.0,1001
KMSN,7200,150,Concrete,03,43.13333,-89.34183,860.8,431,21,43.1505,-89.32867,886.6,
KMSN,5846,150,Concrete,14,43.14783,-89.3415,858.9,477,32,43.13633,-89.3265,861.5,
KMSO,9501,150,Asphalt,12,46.92483,-114.1065,3192.4,,30,46.908,-114.07767,3205.5,
KMSO,4612,75,Asphalt,08,46.916,-114.09667,3199.2,,26,46.91617,-114.07817,3204.2,
KMSP,11006,150,Concrete,04,44.87233,-93.23833,833.5,1550,22,44.89367,-93.20833,830.3,1000
KMSP,10000,200,Concrete,12R,44.88783,-93.23417,841.8,,30L,44.8735,-93.20117,814.4,
KMSP,8200,150,Concrete,12L,44.893,-93.221,838.6,,30R,44.88133,-93.194,819.5,200
KMSP,8000,150,Concrete,17,44.88783,-93.24233,840.4,,35,44.86617,-93.23667,833.3,
KMSS,5601,100,Asphalt,05,44.93,-74.84933,203.3,,23,44.94317,-74.83817,221.4,
KMSS,4001,100,Asphalt,09,44.9345,-74.8545,202.9,,27,44.937,-74.8395,204.5,
KMSV,6298,150,Asphalt,15,41.7085,-74.802,1402.8,298,33,41.69483,-74.788,1380.0,300
KMSY,10104,150,Concrete,11,29.99667,-90.28167,3.7,,29,29.98917,-90.251,1.3,304
KMSY,7001,150,Concrete,02,29.9845,-90.25133,1.8,,20,30.003,-90.2455,-2.4,
KMTC,9000,150,Pem,01,42.6015,-82.83733,579.4,,19,42.62617,-82.8365,578.8,
KMTH,5008,100,Asphalt,07,24.7235,-81.05833,4.6,,25,24.72883,-81.04433,5.2,
KMTJ,10000,150,Asphalt,17,38.52983,-107.89267,5693.7,,35,38.50233,-107.89267,5734.1,
KMTJ,7510,100,Asphalt,13,38.50917,-107.90483,5698.5,,31,38.4935,-107.88783,5758.5,
KMTN,6997,180,Asphalt,15,39.3325,-76.4225,21.3,,33,39.31883,-76.405,9.2,
KMTO,6501,150,Asphalt,11,39.48133,-88.28967,714.4,,29,39.47433,-88.2685,714.3,
KMTO,5799,100,Asphalt,06,39.47417,-88.28833,718.8,,24,39.482,-88.2705,712.1,
KMTO,1098,250,Turf,18,39.479,-88.28833,714.7,,36,39.476,-88.28817,718.9,
KMTP,3246,75,Asphalt,06,41.07367,-71.92483,6.8,302,24,41.07967,-71.91617,4.3,668
KMTV,5002,100,Asphalt,12,36.634,-80.02583,940.8,,30,36.6275,-80.01083,911.7,
KMTW,5001,100,Asphalt,17,44.13417,-87.68383,646.2,,35,44.12067,-87.6805,650.0,
KMTW,3341,100,Asphalt,07,44.12917,-87.68433,650.9,,25,44.13233,-87.67233,638.3,
KMUI,3981,98,Asphalt,07,40.4325,-76.57483,460.1,350,25,40.438,-76.5625,480.0,121
KMUL,4500,75,Concrete,14,,,,,32,,,,
KMUO,13510,200,Pem,12,43.05667,-115.89033,2983.2,,30,43.0305,-115.85467,2995.9,
KMUT,5500,100,Concrete,06,41.36233,-91.1545,544.7,,24,41.37017,-91.13733,541.4,
KMUT,4000,75,Concrete,12,41.37333,-91.15733,535.8,,30,41.367,-91.1455,543.1,
KMVC,6028,100,Asphalt,03,31.45083,-87.35583,412.2,,21,31.46517,-87.34633,418.5,
KMVE,3999,75,Asphalt,14,44.97267,-95.7145,1034.0,,32,44.964,-95.705,1019.6,
KMVE,2361,165,Turf,03,44.96817,-95.71433,1034.0,,21,44.97333,-95.70867,1021.9,
KMVI,5901,60,Asphalt,02,37.52017,-106.053,7611.2,,20,37.5345,-106.04333,7609.6,
KMVI,2300,30,Dirt,16,37.5345,-106.04283,7607.6,,34,37.52833,-106.04117,7606.4,
KMVI,2100,50,Dirt,10,37.53067,-106.04733,7608.5,,28,37.52867,-106.0405,7606.2,
KMVL,3700,75,Asphalt,01,44.52933,-72.61383,712.3,,19,44.5395,-72.61417,731.7,
KMVM,2909,60,Asphalt,18,44.70683,-67.48083,96.0,,36,44.6995,-67.47633,70.3,
KMVN,6496,150,Asphalt,05,38.31783,-88.86683,466.8,774,23,38.32933,-88.84933,467.8,
KMVN,3146,100,Asphalt,15,38.32667,-88.86217,480.4,,33,38.31917,-88.85667,457.0,
KMVY,5504,100,Asphalt,06,41.38667,-70.61933,53.7,,24,41.39817,-70.60633,62.7,
KMVY,3328,75,Asphalt,15,41.39817,-70.62017,66.9,,33,41.39217,-70.611,56.9,
KMWA,8012,150,Asphalt,02,37.74833,-89.018,452.6,,20,37.76867,-89.00733,465.4,
KMWA,4997,100,Asphalt-Concrete,11,37.75133,-89.01683,453.7,,29,37.74717,-89.00033,467.2,
KMWC,4103,75,Asphalt,15L,43.11583,-88.03867,744.1,,33R,43.1065,-88.03,743.7,
KMWC,3231,270,Turf,15R,43.1135,-88.03917,742.3,,33L,43.10617,-88.03233,733.2,
KMWC,3201,75,Asphalt,04L,43.10717,-88.03817,737.2,,22R,43.11417,-88.031,738.3,
KMWC,2839,270,Turf,04R,43.10633,-88.036,731.9,,22L,43.11267,-88.02983,736.4,
KMWH,13503,200,Asphalt-Concrete,14L,47.22567,-119.3265,1168.4,,32R,47.1905,-119.30983,1166.5,
KMWH,10000,100,Asphalt,04,47.19667,-119.333,1188.6,,22,47.21283,-119.30033,1153.4,
KMWH,3500,90,Concrete,09,47.21767,-119.31683,1162.2,,27,47.21467,-119.3035,1152.9,
KMWH,3327,75,Asphalt,18,47.20833,-119.32983,1185.1,,36,47.19967,-119.334,1184.8,
KMWH,2936,75,Concrete,14R,47.224,-119.33017,1167.8,,32L,47.21633,-119.3265,1169.6,
KMWK,5500,75,Asphalt,18,36.46883,-80.55433,1268.9,,36,36.45383,-80.55217,1208.5,
KMWL,5996,100,Asphalt,13,32.7875,-98.06433,913.0,300,31,32.77567,-98.05067,969.3,400
KMWL,4188,100,Asphalt,17,32.7875,-98.064,913.9,,35,32.776,-98.06417,955.7,286
KMWM,3598,75,Concrete,17,43.91833,-95.10933,1409.2,,35,43.9085,-95.1095,1406.4,
KMWO,6100,100,Asphalt,05,39.5255,-84.4035,641.8,,23,39.5365,-84.387,650.3,299
KMWO,3026,160,Turf,08,39.53283,-84.40417,643.0,951,26,39.5335,-84.3935,644.4,
KMXA,4200,75,Asphalt,18,35.90017,-90.1545,240.3,,36,35.88867,-90.15467,242.4,60
KMXF,8008,150,Asphalt,15,32.39133,-86.37317,170.8,,33,32.37267,-86.3595,165.8,
KMXF,3015,60,Asphalt,009,32.38133,-86.36383,,,189,32.38967,-86.36483,,
KMXO,4400,75,Concrete,15,42.2265,-91.16767,825.1,,33,42.21567,-91.1605,829.2,
KMXO,2316,90,Turf,09,42.219,-91.166,822.6,,27,42.219,-91.15733,831.8,
KMYF,4598,150,Asphalt,10L,32.81817,-117.14467,414.2,,28R,32.81283,-117.13117,427.3,1199
KMYF,3401,60,Asphalt,10R,32.817,-117.14533,414.0,,28L,32.813,-117.13533,421.2,
KMYF,3400,75,Asphalt-Treated,05,32.81483,-117.146,415.8,390,23,32.81883,-117.136,425.4,
KMYJ,5501,100,Concrete,06,39.15433,-91.8255,822.8,,24,39.1605,-91.80783,808.7,371
KMYJ,3200,50,Asphalt-Concrete,18,39.16217,-91.82083,811.8,,36,39.15333,-91.82117,818.0,
KMYL,6108,75,Asphalt,16,44.89717,-116.102,5024.2,,34,44.88033,-116.1015,5006.2,
KMYR,9503,150,Asphalt,18,33.6925,-78.9315,22.1,,36,33.667,-78.92517,21.4,
KMYV,6007,150,Asphalt,14,39.10483,-121.57467,63.2,,32,39.08983,-121.56617,60.1,
KMYV,3314,60,Asphalt,05,39.09683,-121.57417,61.9,,23,39.10033,-121.56333,64.3,
KMYZ,4200,60,Asphalt,16,39.86183,-96.63317,1277.9,,34,39.851,-96.62817,1277.1,
KMZH,3200,75,Asphalt,04,46.41533,-92.80883,1074.4,,22,46.422,-92.80067,1070.9,
KMZJ,6849,150,Asphalt,12,32.5165,-111.33317,1874.6,,30,32.50317,-111.3175,1893.1,
KMZZ,6011,100,Asphalt,04,40.4835,-85.687,858.1,,22,40.4965,-85.67383,850.0,
KMZZ,3456,100,Asphalt,15,40.494,-85.68183,857.5,,33,40.48567,-85.67567,849.5,
KN03,3400,75,Asphalt,06,42.5895,-76.2195,1197.3,,24,42.59583,-76.21033,1163.9,
KN06,3175,270,Turf,15,38.5455,-75.59783,28.9,,33,38.53917,-75.59033,30.1,270
KN12,2987,60,Asphalt,06,40.06417,-74.1815,41.0,261,24,40.06967,-74.17367,33.1,
KN13,3200,60,Asphalt,09,40.99667,-76.44083,481.2,,27,40.99867,-76.42967,481.2,
KN14,3496,75,Asphalt,01,39.9295,-74.807,35.0,,19,39.939,-74.8075,49.1,
KN19,4314,60,Asphalt,08,36.83733,-108.036,5866.2,266,26,36.8365,-108.02133,5881.4,215
KN23,4201,75,Asphalt,07,42.2995,-75.4225,1024.7,,25,42.30567,-75.40933,1022.1,
KN24,6861,75,Asphalt,17,36.80967,-105.5975,7666.7,,35,36.79083,-105.5975,7689.6,
KN27,4301,75,Asphalt,05,41.73517,-76.45167,730.2,,23,41.74483,-76.44267,713.5,
KN35,3003,50,Asphalt,06,40.9645,-78.93717,1410.0,,24,40.969,-78.92817,1437.0,
KN35,2026,100,Turf,01,40.96367,-78.92583,1439.0,,19,40.96917,-78.92617,1439.0,
KN38,3597,60,Asphalt,10,41.72767,-77.40317,1889.3,,28,41.728,-77.39,1881.1,
KN38,1576,80,Turf,11,41.72817,-77.39583,1886.8,,29,41.72833,-77.39017,1877.9,
KN40,2900,50,Asphalt,07,40.5635,-74.9835,548.0,,25,40.56817,-74.975,558.0,
KN47,2704,75,Asphalt,08,40.259,-75.67533,254.3,380,26,40.26183,-75.66633,244.0,
KN51,5598,50,Asphalt-Turf,04,40.574,-74.7405,187.0,1301,22,40.58733,-74.7305,150.0,1300
KN51,3444,200,Turf,13,40.58867,-74.74217,186.9,,31,40.584,-74.7315,152.1,
KN51,2010,100,Turf,10,40.58183,-74.74333,186.2,,28,40.58267,-74.73633,178.0,
KN52,3309,40,Asphalt,04,34.86017,-80.75133,602.0,,22,34.86733,-80.74467,599.0,200
KN53,3087,30,Asphalt,08,41.03417,-75.16583,471.0,100,26,41.0375,-75.1555,480.0,770
KN57,3695,50,Asphalt,06,39.827,-75.7745,435.0,,24,39.834,-75.765,432.0,
KN58,3974,40,Asphalt,15,39.5635,-119.24183,4278.4,,33,39.55317,-119.23767,4330.5,
KN58,2750,30,Gravel-Dirt,05,39.56033,-119.25117,4325.9,,23,39.5635,-119.24233,4280.2,
KN59,4800,32,Asphalt,07,,,,,25,,,,
KN59,3700,64,Dirt,17,,,,,35,,,,
KN66,4200,75,Asphalt,06,42.52067,-75.06983,1762.8,,24,42.52883,-75.059,1750.1,
KN68,3300,75,Asphalt,06,39.97,-77.64767,684.2,,24,39.976,-77.63883,683.5,
KN69,3315,50,Asphalt,06,41.57383,-73.73667,326.0,,24,41.58017,-73.728,351.0,
KN71,3250,50,Asphalt,10,40.09183,-76.58017,458.0,300,28,40.09267,-76.56867,400.0,
KN73,2880,50,Asphalt,05,39.901,-74.75267,54.0,,23,39.90717,-74.74633,43.0,
KN79,3297,75,Asphalt,08,40.8355,-76.55817,852.5,,26,40.83833,-76.54683,880.5,
KN81,3601,75,Asphalt,03,39.66267,-74.7595,64.1,,21,39.67217,-74.756,57.5,
KN82,3591,60,Asphalt,05,41.59367,-74.46367,547.8,233,23,41.60167,-74.456,537.0,
KN82,2092,120,Turf,14,41.59817,-74.45933,543.3,,32,41.5945,-74.45333,531.1,
KN82,1250,150,Turf,18,41.59733,-74.45883,539.4,,36,41.594,-74.45833,535.7,
KN82,1101,110,Turf,09,41.59833,-74.459,541.9,,27,41.59883,-74.455,533.8,
KN87,4275,75,Asphalt,11,40.2145,-74.60933,105.9,398,29,40.21333,-74.59417,115.1,300
KN89,3838,75,Asphalt,04,41.7245,-74.38067,289.7,,22,41.73333,-74.373,283.1,300
KN94,4008,60,Asphalt,10,40.188,-77.1815,502.4,,28,40.18767,-77.16717,510.0,126
KN96,3632,60,Asphalt,07,40.88267,-77.82167,1068.9,,25,40.88833,-77.81083,1057.4,
KN98,4001,75,Asphalt,09,45.209,-84.99767,654.7,599,27,45.2085,-84.98217,659.3,
KNBC,12202,200,Pem,05,32.4705,-80.7305,37.0,,23,32.4955,-80.704,13.1,
KNBC,8001,200,Pem,14,32.48467,-80.73133,32.2,,32,32.469,-80.71317,23.1,
KNBG,10000,200,Pem,04,29.8235,-90.03733,-1.2,,22,29.84317,-90.01533,-0.9,
KNBG,6000,200,Pem,14,29.82333,-90.03317,-2.3,,32,29.81067,-90.021,-0.7,
KNBJ,5000,150,Asphalt,09,30.38867,-87.6415,49.5,,27,30.3885,-87.62567,46.0,
KNBJ,5000,150,Asphalt,15,30.39817,-87.63333,47.3,,33,30.38617,-87.62567,49.3,
KNCA,5127,150,Asphalt,05,34.70467,-77.4485,23.7,,23,34.7145,-77.43633,15.9,
KNCA,4789,150,Asphalt,01,34.70067,-77.43667,23.9,,19,34.71383,-77.43667,16.3,
KNDY,4191,150,Asphalt,16,38.33783,-77.04083,17.9,,34,38.328,-77.03317,16.0,
KNDZ,6001,200,Asphalt,14,30.703,-87.023,170.1,,32,30.69083,-87.01,165.3,
KNDZ,5996,200,Asphalt,05,30.69467,-87.01933,161.4,,23,30.70583,-87.00533,171.1,
KNEL,5002,150,Asphalt,06,40.0315,-74.3565,88.1,,24,40.04017,-74.34283,100.6,
KNEL,5002,150,Asphalt,15,40.03967,-74.36033,97.2,,33,40.029,-74.349,88.0,
KNEL,3500,90,Concrete,063,40.03467,-74.354,100.8,,243,40.04083,-74.34433,86.9,
KNEN,8001,150,Asphalt,12,,,,,30,,,,
KNEW,6879,150,Asphalt,18R,30.05283,-90.03,5.7,239,36L,30.03383,-90.02967,5.7,820
KNEW,3697,75,Asphalt,18L,30.05017,-90.02767,5.2,,36R,30.04,-90.0275,6.7,
KNEW,3114,75,Asphalt,09,30.037,-90.03067,4.9,,27,30.03717,-90.02083,4.7,
KNFD,4000,150,Asphalt,11,30.507,-87.653,118.3,,29,30.50417,-87.64083,119.7,
KNFD,3998,150,Asphalt,05,30.50583,-87.65133,118.8,,23,30.5135,-87.64233,130.3,
KNFE,8004,175,Asphalt,05,36.6835,-76.14333,14.5,,23,36.7005,-76.12583,14.2,
KNFG,6006,221,Asphalt,03,33.29533,-117.362,60.6,,21,33.30717,-117.34833,77.4,
KNFJ,8000,150,Asphalt,18,,,,,36,,,,
KNFL,14004,200,Asphalt,13R,39.43567,-118.714,3934.8,,31L,39.404,-118.68567,3926.8,
KNFL,11078,200,Concrete,13L,39.4305,-118.70517,3934.7,,31R,39.40567,-118.68283,3926.7,
KNFL,7003,152,Asphalt,07,39.41317,-118.71583,3929.0,,25,39.41383,-118.69117,3926.7,
KNFW,11999,200,Concrete,18,32.78567,-97.44133,621.5,,36,32.75267,-97.44167,649.9,
KNFW,3998,50,Concrete,176,,,,,356,,,,
KNGP,8002,200,Pem,13R,27.70067,-97.30167,9.6,,31L,27.68517,-97.28417,17.0,
KNGP,5002,196,Asphalt,17,27.69917,-97.2885,12.8,,35,27.6855,-97.2885,16.9,
KNGP,5001,200,Asphalt,04,27.69,-97.2975,17.1,,22,27.69983,-97.2865,13.1,
KNGP,5000,220,Asphalt,13L,27.69533,-97.29217,13.3,,31R,27.6855,-97.28133,17.7,
KNGS,4500,150,Asphalt,05,,,,,23,,,,
KNGS,4500,150,Asphalt,09,,,,,27,,,,
KNGS,4500,150,Asphalt,14,,,,,32,,,,
KNGS,4500,150,Asphalt,18,,,,,36,,,,
KNGU,8370,200,Asphalt,10,36.9375,-76.30367,13.2,299,28,36.9375,-76.275,12.5,995
KNGW,4994,150,Asphalt,13,27.70633,-97.44283,29.5,,31,27.69667,-97.43183,18.4,
KNGW,4496,150,Asphalt-Concrete,18,27.70967,-97.4405,29.9,,36,27.69717,-97.4405,21.5,
KNHK,11799,200,Asphalt,06,38.27683,-76.42167,38.7,,24,38.29817,-76.3905,19.8,
KNHK,9732,200,Concrete,14,38.29433,-76.42333,27.0,,32,38.27867,-76.39583,15.8,
KNHK,5021,75,Asphalt,02,38.2765,-76.421,37.4,,20,38.29017,-76.4185,24.8,
KNHZ,8000,200,Asphalt-Concrete,01L,43.88133,-69.93883,63.4,,19R,43.90317,-69.9415,74.2,
KNHZ,8000,200,Asphalt-Concrete,01R,43.8815,-69.93617,61.6,,19L,43.90333,-69.93883,73.7,
KNID,10001,200,Concrete,03,35.67567,-117.70833,2284.0,,21,35.696,-117.68583,2201.0,
KNID,9014,200,Asphalt,14,35.69883,-117.69317,2203.2,,32,35.6765,-117.68,2240.9,
KNID,7111,75,Concrete,08,35.68333,-117.70417,2260.6,,26,35.683,-117.68017,2226.3,
KNIP,9003,200,Asphalt,10,30.23167,-81.693,22.5,997,28,30.23167,-81.6645,7.9,
KNIP,5979,200,Asphalt,14,30.2425,-81.67883,12.4,2734,32,30.231,-81.66533,7.4,
KNJK,9503,200,Pem,08,32.82917,-115.68717,-47.9,,26,32.82917,-115.65617,-46.4,
KNJK,6824,200,Pem,12,32.82983,-115.67217,-46.8,,30,32.8165,-115.6565,-42.3,
